row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
1	1	-2.049586667	6.983221367	-13.8605	-6.51725	-3.26085	3.405075	8.7305
1	2	3.441406667	6.610645197	-4.4444	0.2541	1.71805	5.0537	24.1901
1	3	-4.713906667	11.36316751	-31.6463	-7.285675	1.2124	3.400775	8.284
1	4	7.873553333	16.70615595	-17.5	1.199575	4.67195	10.304075	56.889
1	5	6.32456	12.2650702	-5.2703	-1.186425	2.08395	8.135	41.6487
1	6	0.1749533333	8.523870878	-11.8167	-3.2078	-0.48965	3.307725	24.3824
1	7	-1.205546667	11.62782469	-36	-4.482725	-0.63485	2.1016	14.7673
1	8	4.01284	9.271806287	-12.8882	-2.62995	0.896	6.61825	23.0769
1	9	-1.426046667	9.191465403	-20.3855	-10.5628	-1.43395	5.22865	12.5926
1	10	2.789393333	5.614643333	-4.6799	0.2819	1.5659	3.55075	18.8988
1	11	2.109446667	7.59775342	-10.664	-2.35465	2.5442	5.37035	19.7528
1	12	-0.2350733333	6.577711518	-12.8	-2.06265	-1.0274	2.7108	12.8643
