row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
5	1	3.828013333	8.516590522	-14.7046	-1.7442	4.53745	6.905575	17.9875
5	2	1.78016	6.99479435	-12.6733	-1.966975	2.0964	5.4323	17.0455
5	3	-0.7524266667	5.444194118	-11.4563	-3.993175	-0.4717	2.5009	11.8519
5	4	4.756753333	4.93950195	-3.3735	0.726	3.83705	6.925625	14.3011
5	5	0.70582	6.151140261	-10.7692	-2.310925	0.45045	3.62345	16.8211
5	6	0.7849666667	6.883376704	-9.434	-4.426875	2.00485	5.2736	11.0172
5	7	-0.74384	3.715731666	-7.4074	-2.97475	-0.22625	1.57225	7.0833
5	8	1.182066667	6.623230079	-5.5118	-3.2073	-0.5952	4.958425	18.3206
5	9	1.052066667	6.948218109	-6.7961	-4.312225	0	2.883325	16.6589
5	10	3.84792	13.47517305	-12.5	-3.29655	0.9475	5.228225	46.875
5	11	-0.1698666667	4.811248152	-6.7416	-4.05845	0	1.7019	10.1707
5	12	4.566873333	5.389769128	-3.6792	0	3.0288	8.79675	13.4045
