row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
6	1	5.32778	7.277941362	-11.3979	1.9045	3.9536	9.8735	17.64
6	2	1.04814	4.210928068	-6.3083	-1.70175	0.8703	4.223525	7.5647
6	3	2.981993333	5.840594541	-7.6119	0.378125	3.4565	7.4791	10.7619
6	4	5.198786667	7.091438864	-2.5934	-0.413375	3.9271	8.078925	23.3898
6	5	-0.007826666667	6.960204344	-11.2897	-3.784575	-1.53615	5.619575	12.2449
6	6	0.005933333333	4.521113975	-8.7273	-1.603275	0.1461	2.38465	8.2929
6	7	2.861973333	7.407709726	-7.6459	-1.7327	1.21115	5.571125	22.3271
6	8	0.5807733333	5.802098101	-13.7097	-1.935525	0.43685	4.2585	12.2475
6	9	1.296973333	9.473755432	-16.4854	-4.590725	2.09175	6.275575	22.1479
6	10	-0.03797333333	8.352180607	-19.6429	-3.627825	0.5007	5.203375	13.5322
6	11	-0.13276	3.767846312	-6.7134	-0.7999	0.5949	1.48465	7.8664
6	12	0.72364	4.500194064	-6.879	-2.30775	0	4.07455	7.5472
