row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
8	1	-0.04484	15.61152864	-40.258	-10.01215	0.46645	9.53065	21.468
8	2	7.66244	17.77950183	-7.9849	-2.30215	3.733	14.595675	63.1409
8	3	3.985873333	16.21799338	-15.34	-4.333825	1.7376	5.990175	41.3218
8	4	7.623146667	27.14795795	-8.8914	-2.49695	0.70235	7.34305	103.3333
8	5	1.895033333	14.18887054	-20.0617	-6.814325	-1.88895	6.569825	31.5913
8	6	5.361153333	16.45769259	-11.015	-3.496925	2.05355	6.725175	50.2639
8	7	-3.504766667	9.218328275	-17.8481	-7.055075	-3.0311	4.38345	26.4662
8	8	-0.6641266667	8.715121145	-11.4749	-6.017575	-2.33225	3.96875	19.2042
8	9	2.501713333	20.56520795	-26.0103	-7.575125	2.23965	9.7556	56.6667
8	10	-0.32424	15.12073663	-41.0894	-3.5228	0.78885	6.571275	27.2423
8	11	-1.472646667	9.173467485	-24.4504	-5.15255	-2.1523	1.88355	17.5439
8	12	-1.786713333	12.61800212	-35.7665	-6.5572	1.2742	4.13775	17.8806
