row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
9	1	0.9630933333	7.646423268	-8.539	-5.535275	1.0237	3.651	17.7143
9	2	1.549473333	6.448760746	-13.8019	-2.754325	0.8548	5.2166	12.2235
9	3	2.294153333	5.564854134	-5.8769	-1.181975	1.5711	8.250525	11.1873
9	4	2.790993333	7.528470512	-7.5238	-3.019675	0.9269	8.867975	17.1641
9	5	-1.485673333	5.439235707	-17.4964	-3.410375	-1.20025	1.42735	4.8413
9	6	1.16608	6.06218687	-10.6565	-2.84435	2.73415	4.47485	10.9375
9	7	3.561326667	6.962649795	-6.6148	-1.2407	1.9557	5.228575	15.8685
9	8	1.14942	6.639851806	-10.3774	-2.30325	-0.8777	6.841625	10.8785
9	9	-0.5900266667	6.310579046	-16.9492	-4.3368	-0.17915	3.50615	8.0862
9	10	1.506826667	6.580476029	-8.0137	-0.627175	1.1375	3.86045	18.7517
9	11	1.128386667	6.045818551	-11.1588	-3.6991	2.2989	6.72635	8.6759
9	12	1.094393333	6.055590027	-9.1891	-2.84825	-1.2097	4.586	13.2516
