row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
10	1	3.088118182	12.63858574	-16.9626	-5.2054	2.30325	13.3096	22.3764
10	2	1.321945455	6.416007505	-7.718	-2.45215	0.75415	6.044625	11.3579
10	3	1.778281818	4.26772317	-5.5346	-0.7955	2.1166	5.9466	11.4659
10	4	3.5568	7.294012384	-9.3122	0.65675	3.31465	6.61935	18.6265
10	5	2.550333333	9.554308899	-8.8362	-1.4778	0	5.1464	29.1664
10	6	-1.431558333	6.177451399	-14.2421	-4.9125	-0.5946	2.934	7.8889
10	7	0.1566666667	6.283481813	-10.2666	-2.3921	0.047	3.8217	10.7106
10	8	0.2533666667	6.891912121	-11.9367	-2.5301	0.277	3.3017	13.4546
10	9	0.338175	6.324022783	-12.709	-3.2204	-0.7157	4.8217	8.7727
10	10	1.482933333	11.57360087	-24.6414	-6.7485	5.6968	8.8404	16.6912
10	11	-2.593691667	5.182856701	-10.0452	-6.694375	-3.2658	0.730775	6.3218
10	12	0.111875	6.106779154	-8.9488	-4.167075	-1.0326	3.9957	13.1001
