row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
11	1	0.7186533333	6.743564991	-11.1969	-1.928875	1.54615	4.80075	12.5
11	2	2.050613333	4.85232229	-5.3763	-2.16135	2.3083	4.214075	10.3245
11	3	2.167613333	4.705778133	-4.8147	-0.4726	1.72775	5.03375	13.0636
11	4	1.627706667	4.933749833	-8	-1.567075	0.67535	5.209125	11.875
11	5	2.494393333	4.956415588	-5.1126	-0.068475	1.3242	2.796625	13.8775
11	6	1.001186667	3.694009417	-2.9536	-0.65265	0.4655	1.13725	12.7252
11	7	0.38114	6.762774803	-10.7699	-2.467125	-0.02345	4.40275	17.1609
11	8	1.674553333	3.264605073	-3.6364	-0.643525	1.43115	4.694025	7.6471
11	9	-0.12174	5.207535048	-13.2075	-2.290325	0.42255	2.628	8.5543
11	10	1.93822	6.380262645	-10.1728	-2.264525	1.28525	6.43945	12.6482
11	11	0.4898266667	2.491912364	-3.4651	-1.10995	0.0975	2.29835	4.9127
11	12	1.81176	5.983818356	-4.8315	-1.96215	-0.1592	4.1934	18.6047
