row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
21	1	1.415113333	7.668653701	-8.7092	-3.454725	2.3388	3.907275	19.8706
21	2	0.5401866667	7.149015019	-10.9836	-4.70075	0.5391	5.01785	14.5997
21	3	3.3757	5.675267676	-6.5631	-1.3022	5.30235	7.97745	10.3401
21	4	0.93092	5.774916655	-6.7984	-3.631825	0.06545	3.418325	11.9031
21	5	-0.4040666667	6.473482843	-8.4818	-3.5167	-2.83865	-0.219425	14.0612
21	6	1.559186667	5.174877258	-5.8483	-4.294	1.85145	4.8338	10.1638
21	7	2.648426667	7.498946316	-11.7848	-0.4056	1.55645	5.0385	15.6891
21	8	1.11056	5.966829556	-9.0653	-1.9943	-0.7069	5.172	14.596
21	9	2.10596	8.947584645	-9.8039	-4.55685	-0.5649	6.703775	19.8352
21	10	-0.4227666667	8.434768501	-24.3337	-2.162225	-0.33185	6.0154	13.6389
21	11	-1.930386667	8.151059675	-13.7584	-8.29665	-0.3717	3.9701	10.0543
21	12	0.71378	5.274246816	-7.0554	-2.48	0.1118	2.5633	10.7477
