row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
26	1	0.8438	5.715157733	-8.8585	-3.29525	1.9228	4.861775	10.3698
26	2	2.70464	6.976146217	-7.2019	-3.4945	0.49945	8.008975	14.8646
26	3	0.96624	4.970071841	-6.3956	-2.936875	0.83965	4.755725	10.3261
26	4	2.19978	7.732364062	-10.202	-3.326125	1.8842	6.7383	16.2562
26	5	2.737366667	7.715859793	-10.6435	-2.477175	1.0156	5.698975	23.0458
26	6	-0.54306	4.869510692	-10.2257	-3.265825	-0.8854	2.963625	6.3846
26	7	1.85088	5.19245196	-8.5109	-0.788925	1.6539	4.542375	11.2832
26	8	-0.6533133333	5.163543211	-11.3381	-2.26155	0.52295	2.695625	6.0896
26	9	-0.11414	6.624230848	-12.7239	-3.843075	0.80685	4.62225	10.0251
26	10	2.398873333	6.776891512	-10.9276	-0.052275	2.6541	6.084925	19.8797
26	11	-1.131653333	5.046569537	-10.8951	-3.76825	-0.1141	2.6191	7.1939
26	12	1.181606667	5.512421097	-4.2581	-3.1426	0.0547	3.52415	15.5259
