row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
32	1	-0.94102	9.526586001	-19.2034	-6.280875	0.11945	5.130525	14.129
32	2	0.66922	6.819286903	-11.9083	-3.53785	-0.10975	7.0935	9.7403
32	3	-0.1285	4.730621761	-8.7574	-2.807625	0.7576	3.0941	7.8883
32	4	3.145953333	5.379402602	-2.6987	-0.276575	1.1813	5.223925	14.0795
32	5	0.4063066667	5.870710713	-12.7193	-2.1235	-0.052	2.879575	11.7071
32	6	-0.2696866667	8.845324754	-22.3301	-2.415275	1.23445	5.79925	13.5814
32	7	-0.09654666667	7.785914272	-14.5852	-4.2456	0.9245	4.412925	12.4795
32	8	0.5536533333	5.151364194	-7.9145	-2.6273	0.6138	3.77655	8.0533
32	9	-1.665073333	7.063018544	-17.1779	-4.7742	-1.2936	3.655325	6.4268
32	10	3.315566667	5.124413418	-6.2111	0.566975	4.2588	6.235025	12.2924
32	11	-1.531426667	7.036240073	-12.0567	-6.5567	-3.4225	2.98585	10.3024
32	12	0.57346	8.89101064	-8.7031	-5.7803	-2.0114	5.97415	23.4876
