row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
33	1	0.8877933333	7.024841705	-7.9522	-2.999925	0.0182	4.21055	19.0423
33	2	0.5506266667	4.865331841	-13.7554	-2.619325	-1.1361	2.543	9.1616
33	3	1.62692	6.112582267	-10.8295	-2.246075	1.363	4.52345	11.7812
33	4	5.288986667	8.128499537	-8.992	-0.17865	3.04065	7.58645	20.3395
33	5	2.954433333	5.576825122	-2.9238	-1.369225	1.91075	6.035875	14.918
33	6	-1.249106667	5.164450021	-12.6478	-3.9704	-0.37115	2.4255	8.2551
33	7	0.3117866667	4.27303198	-5.4242	-2.716675	0.7527	2.8333	11.2767
33	8	-0.40968	7.869540262	-14.5551	-4.329075	-1.9981	3.608775	15.7631
33	9	-1.08942	6.21072858	-16.4179	-3.118575	-0.0228	1.514325	8.0556
33	10	-0.86434	4.474813228	-10.3571	-3.04025	-0.1387	3.51605	8.9238
33	11	0.1199533333	6.274762581	-11.0419	-2.90645	-0.6753	5.8339	8.9341
33	12	0.9624533333	5.995703667	-8.858	-2.68985	0.6677	2.7537	15.9633
