row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
35	1	0.9597933333	7.695747291	-8.4883	-3.88175	0.85475	4.228	19.8181
35	2	3.336086667	7.409640014	-6.2679	-2.523175	1.2109	7.165775	20.7921
35	3	2.418046667	3.162737183	-3.2787	-0.230325	3.551	4.955775	6.482
35	4	3.7767	7.997821553	-5.1955	-1.02925	4.21835	7.10375	25.9259
35	5	3.481593333	6.177577994	-6.8824	-1.842925	4.1241	5.864275	15.5597
35	6	-0.1576666667	6.638505299	-14.773	-4.2624	-0.60875	4.483675	8.8981
35	7	2.04132	8.245956512	-9.4683	-3.744775	0.21845	7.574125	16.9274
35	8	-2.267813333	4.307135363	-7.0223	-4.623375	-3.4243	1.432375	7.1429
35	9	0.20788	8.101856378	-15.1261	-3.953	0.65875	5.8758	13.1286
35	10	3.987053333	7.627721642	-8.5132	2.545025	4.24795	6.8084	16.6667
35	11	-1.384866667	5.825186958	-10.052	-5.57625	-2.2206	3.5099	9.8252
35	12	2.707993333	9.465706277	-11.8558	-4.6003	3.4314	5.48775	20.9051
