row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
37	1	-4.46256	6.492660736	-16.6667	-8.234125	-4.948	2.074125	3.9501
37	2	4.566453333	6.717489446	-5.58	-0.731275	4.612	8.299625	15.4
37	3	1.309693333	8.621773482	-14.0999	-2.413025	2.726	4.7546	16.8112
37	4	2.46706	8.816238232	-11.5172	-1.11955	1.42925	6.167625	26.2857
37	5	1.566953333	11.79768506	-17.6471	-5.291675	-1.2565	6.5907	29.5019
37	6	-0.33238	6.773430616	-14.4782	-3.858325	0.20725	3.77225	11.3214
37	7	-0.07812	5.434917726	-12.9032	-2.245925	-0.56675	1.665275	11
37	8	2.856133333	6.495700887	-7.6525	-1.6711	1.5041	6.7537	15.9286
37	9	-2.47356	7.006351723	-14.5299	-5.533675	-0.49275	2.15845	7.6923
37	10	1.482433333	5.043314417	-6.9057	-2.29995	-0.04835	3.5952	9.4515
37	11	0.71952	8.264832887	-12.1429	-5.0183	2.0408	3.0331	18.6775
37	12	4.545066667	6.542309502	-1.642	-0.82805	3.8095	8.09745	20.5814
