row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
51	1	0.9250933333	5.637468647	-8.6338	-3.187	0.7223	5.96515	7.8388
51	2	1.544993333	4.361093921	-4.8895	-1.283375	0.88875	4.05185	9.5268
51	3	0.4018066667	2.88341913	-5.4553	-1.67765	1.0734	3.1207	5.9652
51	4	2.897586667	4.855175445	-3.1587	-0.637725	2.86525	4.1217	15.3429
51	5	1.6488	5.419998688	-5.8357	-1.77375	0.2898	2.42685	16.0869
51	6	-0.1151533333	3.543304316	-6.1559	-2.01215	-0.5196	2.371275	5.8133
51	7	0.5622866667	4.763159326	-7.7012	-1.449475	0.61595	3.379325	7.5937
51	8	0.2568066667	3.487645177	-4.0831	-1.970525	-0.8428	3.255875	7.2696
51	9	-0.6181866667	6.358059986	-13.5536	-4.2532	0.23525	4.491875	6.2259
51	10	2.10778	4.940985293	-9.5785	0.203925	3.4696	5.035075	11.2809
51	11	-0.8607533333	4.132608622	-7.1486	-3.5739	-2.1726	1.0819	7.5374
51	12	0.6754333333	3.872993221	-4.7633	-1.8061	0.3357	2.85635	10.0175
