row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
39	1	0.4438384615	7.180134688	-15.7517	-4.8034	2.25495	5.597025	8.6099
39	2	2.925723077	4.551882329	-4.3989	-0.3946	3.10225	6.284675	11.8239
39	3	-1.031461538	3.107562033	-7.0563	-2.6981	-0.38955	1.35975	12.4048
39	4	2.480107692	6.948912205	-3.7788	-1.97895	-0.0614	4.357975	21.659
39	5	1.700653846	7.436204699	-8.3264	-4.178225	-0.99535	6.023325	17.3798
39	6	1.417046154	5.212869646	-5.783	-1.0295	1.1608	3.746725	13.9785
39	7	-1.264753846	6.025526661	-12.4808	-3.9664	-1.3258	1.782875	11.3208
39	8	2.147946154	6.809139229	-5.9919	-1.625325	1.8099	5.510125	15.2766
39	9	2.886392308	8.228370659	-7.1479	-4.634875	1.1981	8.50975	18.8315
39	10	2.591746154	5.100426561	-5.1953	-0.135175	1.86205	6.7523	10.0856
39	11	1.6881	6.99410245	-6.5789	-2.324425	-0.02	3.6054	19.9165
39	12	-0.1547642857	5.088825815	-6.6667	-2.8202	-1.21015	1.29035	13.426
