row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
44	1	1.646146667	7.064081206	-10.1436	-1.907325	-0.18355	6.09165	13.6039
44	2	1.67548	5.167798622	-8.4045	-1.353775	1.25585	3.835325	10.9091
44	3	-0.4795866667	4.616797321	-9.8178	-3.366325	-0.89745	3.3138	7.4766
44	4	2.737733333	4.556939938	-6.8553	1.534	3.3461	4.669875	13.3502
44	5	5.22698	6.354328725	-5.8511	1.864025	3.89195	7.209025	17.5758
44	6	0.5865133333	3.779337985	-5.4293	-1.161475	-0.2825	4.2926	6.7797
44	7	3.073006667	9.322420491	-8.9944	-1.521025	0	5.642275	28.227
44	8	0.1229933333	5.576494625	-9.2097	-2.4295	0.05525	3.7937	9.1954
44	9	-1.650886667	4.872636061	-12.5	-2.975125	-0.5521	0.76355	6.4953
44	10	5.212206667	8.918167348	-12.8571	0.3555	2.4874	11.626675	19.651
44	11	-2.076526667	4.741662606	-11.7647	-5.7366	-0.2809	0.67855	6.8668
44	12	-0.06488666667	5.305870905	-8.1277	-2.92075	-0.4386	4.78835	7.6615
