row_idx	col_idx	average	dev	quartile0	quartile25	quartile50	quartile75	quartile100
46	1	0.09894666667	7.494737977	-12.3842	-5.839025	-1.18745	5.93335	11.8056
46	2	0.8314	5.437609163	-8.3416	-1.2717	1.61535	4.157975	10.0671
46	3	1.82952	6.448874073	-5.3607	-2.69655	1.4013	4.66385	14.6031
46	4	2.591933333	5.16650539	-3.2661	-1.1411	1.0216	3.869275	14.4578
46	5	1.296673333	5.50541817	-6	-4.59375	1.5347	4.63125	10.0649
46	6	0.3986	6.858613089	-10.3774	-3.8944	-0.4333	4.169125	15.9015
46	7	1.145013333	7.219946761	-8.8182	-2.55725	-0.2179	4.14265	18.2609
46	8	1.366526667	3.544309708	-5.8452	-0.418	0.93005	3.89375	8.0247
46	9	0.3341866667	7.827841792	-14.1892	-1.262575	0.42825	2.137075	17.6471
46	10	4.596426667	7.932899729	-11.3208	0.8336	3.896	6.925175	19.7597
46	11	0.52274	5.731105261	-8.9552	-2.9736	-2.0587	5.35045	11.4827
46	12	2.556266667	6.083292593	-7.7778	-1.3196	2.8169	4.82645	18.7
